iter	Logloss
0	0.6911432821
1	0.6881507654
2	0.6849967471
3	0.6821029637
4	0.6771923591
5	0.6725789449
6	0.6690852096
7	0.6666790883
8	0.6635585588
9	0.6603823795
10	0.6584822432
11	0.656367122
12	0.6538646815
13	0.6516088576
14	0.6494939222
15	0.6459783975
16	0.6435143361
17	0.6408750309
18	0.6387216544
19	0.6354242716
20	0.6337596714
21	0.6311114523
22	0.6282153785
23	0.6249169433
24	0.6231994171
25	0.6210079092
26	0.6201171429
27	0.6180173114
28	0.6160861623
29	0.6132120637
30	0.6115107557
31	0.6099890867
32	0.6081322197
33	0.6060429734
34	0.6038496703
35	0.6022015979
36	0.6007387356
37	0.5987244524
38	0.5969456434
39	0.5956466351
40	0.5944542834
41	0.5936918394
42	0.592064566
43	0.5907333068
44	0.5883537413
45	0.5871220201
46	0.5855554723
47	0.5837896628
48	0.5828413897
49	0.5816003214
50	0.5798632343
51	0.5782914248
52	0.5772800739
53	0.5763409623
54	0.5752344065
55	0.5743833192
56	0.5736441503
57	0.5727101766
58	0.5713940833
59	0.5697829662
60	0.5687311316
61	0.5682168518
62	0.5671237286
63	0.5660299864
64	0.5650292207
65	0.5639965137
66	0.5627766157
67	0.5614779788
68	0.560475356
69	0.559566143
70	0.558271901
71	0.5572570836
72	0.5567398325
73	0.555051462
74	0.5538045749
75	0.5526748678
76	0.5521942626
77	0.55120662
78	0.5499459288
79	0.5495186829
80	0.5485231788
81	0.5473041475
82	0.5464610455
83	0.5458150388
84	0.5447331199
85	0.5439546433
86	0.5431660149
87	0.5420808771
88	0.5410633979
89	0.5404120676
90	0.5398214629
91	0.5388251542
92	0.5379077701
93	0.5374558254
94	0.536796943
95	0.5360367276
96	0.5352599843
97	0.5342191062
98	0.5336774658
99	0.5330865517
100	0.5323067133
101	0.5316038807
102	0.5311335512
103	0.5304855636
104	0.5295793218
105	0.5287586283
106	0.5278031128
107	0.5271685579
108	0.5264372505
109	0.5253691357
110	0.524724986
111	0.5239846409
112	0.5235014358
113	0.5225818233
114	0.5215921999
115	0.5211466929
116	0.520671535
117	0.5202666356
118	0.5198141957
119	0.5188916738
120	0.5185301985
121	0.5175793565
122	0.5169570891
123	0.5163879334
124	0.5157321461
125	0.5150629262
126	0.5145494511
127	0.5139478899
128	0.5133947048
129	0.5125871654
130	0.5119995011
131	0.5113382046
132	0.5108328696
133	0.5102061143
134	0.5093760427
135	0.5084662416
136	0.507713021
137	0.5071140905
138	0.5064635959
139	0.5058827717
140	0.5052737822
141	0.5047876058
142	0.504360917
143	0.5037644935
144	0.5032257006
145	0.50258152
146	0.5023102974
147	0.501836718
148	0.501269017
149	0.5006308718
150	0.5000033427
151	0.4995220256
152	0.4987042105
153	0.4980943853
154	0.4978660607
155	0.4972288749
156	0.4965081218
157	0.4960661742
158	0.4957504133
159	0.4952417357
160	0.4946512238
161	0.4941737446
162	0.4934013345
163	0.4931152865
164	0.4925005401
165	0.492062709
166	0.491616583
167	0.4912135406
168	0.4908020487
169	0.4904049489
170	0.4900049088
171	0.4895753725
172	0.4890616808
173	0.488420719
174	0.4878200244
175	0.4874298576
176	0.4869140921
177	0.4863789205
178	0.4860811111
179	0.4854047416
180	0.4849377237
181	0.4845452356
182	0.4842033832
183	0.4836725137
184	0.4832423893
185	0.4827820569
186	0.4824712791
187	0.4821274149
188	0.4818422335
189	0.4814289154
190	0.4809582145
191	0.480490361
192	0.4800621865
193	0.4797100893
194	0.4789635851
195	0.478772092
196	0.4784666996
197	0.4777803639
198	0.4772836023
199	0.4766244414
200	0.476094779
201	0.4756328062
202	0.4753026841
203	0.4749954038
204	0.4746298739
205	0.4742304838
206	0.4739422692
207	0.4733624973
208	0.4727417774
209	0.472103137
210	0.4719023586
211	0.4713325839
212	0.4706815631
213	0.4703071503
214	0.4699457988
215	0.4696491965
216	0.4691604203
217	0.468727727
218	0.4681873246
219	0.4679569263
220	0.4673712737
221	0.4669676743
222	0.4665050824
223	0.4661215392
224	0.4654944743
225	0.4651311729
226	0.4647393967
227	0.4641117748
228	0.4636387215
229	0.4630386768
230	0.4626769539
231	0.4622021984
232	0.4620675621
233	0.4614467184
234	0.4610414476
235	0.4606324626
236	0.4602902078
237	0.4598004411
238	0.4595108028
239	0.4591227407
240	0.458702242
241	0.4583596777
242	0.4579253131
243	0.4575304417
244	0.4571330015
245	0.4569514127
246	0.4565964061
247	0.4562567202
248	0.4558540493
249	0.4554965357
250	0.4552250655
251	0.454956319
252	0.4547376201
253	0.4541463036
254	0.4538213503
255	0.4534595964
256	0.4530720295
